,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
"Block Group 3, Census Tract 44, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004400> block group:3",1623,861,861,861,0,0,762
"Block Group 1, Census Tract 9, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000900> block group:1",776,446,446,446,0,0,330
"Block Group 3, Census Tract 9, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000900> block group:3",1004,726,726,651,75,0,278
"Block Group 2, Census Tract 12, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001200> block group:2",1522,1084,1084,1054,30,0,438
"Block Group 2, Census Tract 43.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004301> block group:2",3871,2839,2839,2776,63,0,1032
"Block Group 2, Census Tract 43.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004302> block group:2",1414,798,798,750,48,0,616
"Block Group 3, Census Tract 52, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005200> block group:3",1331,833,833,833,0,0,498
"Block Group 1, Census Tract 2, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000200> block group:1",3271,1237,1237,1048,189,0,2034
"Block Group 1, Census Tract 11, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001100> block group:1",987,669,669,637,32,0,318
"Block Group 2, Census Tract 1, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000100> block group:2",741,390,390,390,0,0,351
"Block Group 3, Census Tract 6, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000600> block group:3",960,560,560,499,61,0,400
"Block Group 2, Census Tract 50.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005001> block group:2",1849,965,965,942,23,0,884
"Block Group 2, Census Tract 27, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002700> block group:2",1339,620,620,611,9,0,719
"Block Group 2, Census Tract 10, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001000> block group:2",925,666,666,649,17,0,259
"Block Group 2, Census Tract 48.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004803> block group:2",1380,827,827,775,52,0,553
"Block Group 1, Census Tract 47, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004700> block group:1",1048,618,618,618,0,0,430
"Block Group 1, Census Tract 5.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000502> block group:1",1026,456,456,426,30,0,570
